epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5714,1.49357,2.8609,1.28182,0.05323,0.73684,0.52722,0.24594,1.52561,3.41761,1.24655,0.000651515,0.000651515,0.000651515
2,185.337,1.54252,2.03413,1.24454,0.2521,0.47193,0.19746,0.095,1.57651,3.3116,1.49077,0.00130513,0.00130513,0.00130513
3,269.08,1.59077,1.92823,1.29357,0.46542,0.45263,0.40339,0.18272,1.80318,2.74947,1.68164,0.00194555,0.00194555,0.00194555
4,355.104,1.70629,1.87988,1.37277,0.58345,0.67368,0.58809,0.2797,1.65141,2.24323,1.51876,0.0019406,0.0019406,0.0019406
5,434.489,1.50257,1.60232,1.29471,0.44577,0.57574,0.42175,0.19855,1.62697,2.74184,1.52782,0.0019208,0.0019208,0.0019208
6,510.393,1.52794,1.51962,1.28345,0.73919,0.65263,0.72272,0.37126,1.68344,2.09135,1.56987,0.001901,0.001901,0.001901
7,586.566,1.50064,1.46816,1.30397,0.76953,0.66316,0.7727,0.39947,1.59957,1.88656,1.49236,0.0018812,0.0018812,0.0018812
8,662.264,1.45965,1.26142,1.22771,0.78672,0.53684,0.64811,0.3325,1.681,1.69317,1.51106,0.0018614,0.0018614,0.0018614
9,737.915,1.47277,1.26867,1.22644,0.63042,0.74737,0.64158,0.32602,1.57102,1.46293,1.51586,0.0018416,0.0018416,0.0018416
10,822.634,1.46304,1.20532,1.27466,0.79994,0.63158,0.72182,0.36435,1.59907,1.40574,1.45451,0.0018218,0.0018218,0.0018218
11,899.55,1.45631,1.12543,1.26621,0.80913,0.72632,0.81824,0.4461,1.57977,1.26487,1.44487,0.001802,0.001802,0.001802
12,975.811,1.45723,1.09535,1.23901,0.77522,0.73684,0.77764,0.45046,1.52618,1.27359,1.46969,0.0017822,0.0017822,0.0017822
13,1053.16,1.39821,1.02482,1.19233,0.77122,0.77895,0.79598,0.38643,1.71962,1.19323,1.50854,0.0017624,0.0017624,0.0017624
14,1135.86,1.4794,1.02598,1.23108,0.82863,0.74737,0.80884,0.44531,1.48131,1.13961,1.38107,0.0017426,0.0017426,0.0017426
15,1226.06,1.39402,1.01067,1.22545,0.85738,0.69608,0.78372,0.43421,1.51217,1.13769,1.40391,0.0017228,0.0017228,0.0017228
16,1316.56,1.36987,0.97275,1.21499,0.81192,0.73684,0.81218,0.44706,1.58143,1.07725,1.45492,0.001703,0.001703,0.001703
17,1403.79,1.38183,0.94069,1.22822,0.79436,0.78947,0.76643,0.40877,1.57154,1.10713,1.46996,0.0016832,0.0016832,0.0016832
18,1510.31,1.30314,0.91333,1.17651,0.82253,0.78947,0.8079,0.45389,1.4971,1.0459,1.3959,0.0016634,0.0016634,0.0016634
19,1609.58,1.42057,0.94534,1.24556,0.81587,0.83158,0.85798,0.4742,1.55278,1.04608,1.40843,0.0016436,0.0016436,0.0016436
20,1709.96,1.37617,0.91437,1.2169,0.76917,0.8418,0.82473,0.47448,1.5188,1.02216,1.39272,0.0016238,0.0016238,0.0016238
21,1800.45,1.34614,0.86718,1.19041,0.87438,0.76842,0.82551,0.46532,1.51445,1.01223,1.43053,0.001604,0.001604,0.001604
22,1892.64,1.35281,0.89653,1.17596,0.8839,0.77895,0.82436,0.43943,1.44103,1.09669,1.36653,0.0015842,0.0015842,0.0015842
